City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,kaiyuan,23.6977,103.3037,284.74,85,0,1.73,CN,1704820976
196,dhanera,24.5167,72.0167,288.39,33,0,5.48,IN,1704820978
197,sao joao da barra,-21.6403,-41.0511,309.2,81,96,2.0,BR,1704820979
198,telerghma,36.1165,6.3543,282.58,45,38,0.96,DZ,1704820981
199,rongelap,11.1635,166.8941,300.38,77,74,9.76,MH,1704820877
200,nazarovo,56.0064,90.3914,255.04,88,100,9.15,RU,1704820984
201,terrace,54.5163,-128.6035,272.1,74,75,7.2,CA,1704820985
202,vilyuysk,63.7553,121.6247,229.82,100,94,0.89,RU,1704820987
203,eastham,41.8301,-69.9739,278.12,67,0,2.06,US,1704820970
204,coos bay,43.3665,-124.2179,282.17,71,75,13.89,US,1704820990
205,puente alto,-33.6167,-70.5833,300.95,28,0,3.6,CL,1704820820
206,remire-montjoly,4.9167,-52.2667,303.17,74,100,7.2,GF,1704820993
207,martapura,-3.4167,114.85,300.2,94,100,1.03,ID,1704820994
208,puerto san jose,13.9256,-90.8244,302.86,52,6,1.63,GT,1704820996
209,la cruz,23.9167,-106.9,292.82,57,67,2.09,MX,1704820998
210,balqash,46.8481,74.995,271.48,92,100,6.26,KZ,1704820999
211,isangel,-19.55,169.2667,299.11,84,0,3.73,VU,1704821001
212,astrakhan,46.3497,48.0408,261.08,79,40,9.0,RU,1704821002
213,navolato,24.7672,-107.6944,290.25,40,78,2.24,MX,1704820917
214,chimore,-16.9833,-65.1333,309.11,45,54,1.78,BO,1704821006
215,kudahuvadhoo,2.6708,72.8944,300.98,79,63,6.46,MV,1704821007
216,east ballina,-28.8667,153.5833,296.37,93,96,3.71,AU,1704821009
217,tevriz,57.509,72.4042,251.79,91,78,3.12,RU,1704821010
218,springfield,37.2153,-93.2982,273.83,94,100,5.81,US,1704821013
219,farrukhnagar,17.0778,78.2011,293.99,67,62,3.63,IN,1704821015
220,lata,40.1629,-8.3327,284.71,96,100,1.35,PT,1704821016
221,ferkessedougou,9.6,-5.2,309.57,10,1,2.52,CI,1704821018
222,afaahiti,-17.75,-149.2833,299.08,84,85,5.65,PF,1704821019
223,saldanha,-33.0117,17.9442,295.18,85,100,12.15,ZA,1704821021
224,berezovyy,51.6667,135.7,246.19,93,30,1.53,RU,1704821022
225,eirunepe,-6.6603,-69.8736,301.37,82,100,0.68,BR,1704821024
226,huron,41.1501,-82.5499,278.13,95,100,9.96,US,1704821027
227,debre tabor,11.85,38.0167,288.39,44,38,1.33,ET,1704821028
228,alzamay,55.5562,98.6644,264.73,85,37,5.27,RU,1704821030
229,pangai,-19.8,-174.35,300.21,89,40,3.09,TO,1704821031
230,negombo,7.2083,79.8358,299.18,83,20,3.6,LK,1704821033
231,tamanrasset,22.785,5.5228,295.1,13,0,2.06,DZ,1704821034
232,nadi,-17.8,177.4167,298.15,94,75,3.09,FJ,1704821036
233,nurmes,63.5421,29.1397,270.77,94,100,3.19,FI,1704821037
234,sitka,57.0531,-135.33,272.09,86,40,1.54,US,1704821039
235,northam,51.0333,-4.2167,276.27,68,74,8.84,GB,1704821040
236,udachny,66.4167,112.4,233.41,100,76,1.45,RU,1704821042
237,tazovsky,67.4667,78.7,254.08,97,100,4.86,RU,1704821044
238,dalbandin,28.8947,64.4101,284.83,38,1,2.3,PK,1704821046
239,banda aceh,5.5577,95.3222,299.27,80,100,3.42,ID,1704821047
240,mil'kovo,55.6078,37.7956,266.12,94,100,6.18,RU,1704821049
241,al hilaliyya,14.9398,33.234,302.42,23,0,3.38,SD,1704821050
242,plainview,40.7765,-73.4673,279.68,79,100,6.17,US,1704820947
243,bamboo flat,11.7,92.7167,298.97,71,93,4.5,IN,1704821055
244,nova vicosa,-17.8919,-39.3719,302.37,71,72,5.95,BR,1704821057
245,lompoc,34.6391,-120.4579,285.38,57,40,4.63,US,1704821058
246,palapye,-22.546,27.1251,302.61,36,28,4.88,BW,1704821060
247,lihue,21.9789,-159.3672,294.92,73,40,3.6,US,1704820798
248,port lincoln,-34.7333,135.8667,288.78,87,10,2.07,AU,1704821063
249,susangerd,31.5608,48.1831,290.33,25,100,3.43,IR,1704821064
250,port douglas,-16.4833,145.4667,300.16,85,77,2.43,AU,1704821065
251,juybar,36.6412,52.9124,288.24,57,95,1.32,IR,1704821067
252,i-n-salah,27.1935,2.4607,293.0,11,92,4.91,DZ,1704821069
253,nar'yan-mar,67.6713,53.087,252.1,100,100,2.24,RU,1704821071
254,matoury,4.8483,-52.3317,303.13,74,100,7.2,GF,1704821072
255,kuanda,56.3161,116.0806,246.09,91,80,0.86,RU,1704821074
256,suva,-18.1416,178.4415,298.86,94,75,1.54,FJ,1704821076
257,qui nhon,13.7667,109.2333,295.54,89,75,3.3,VN,1704821077
258,mount isa,-20.7333,139.5,300.02,89,100,3.09,AU,1704821079
259,lander,42.833,-108.7307,267.48,69,0,2.57,US,1704821080
260,bardai,11.65,7.2333,300.5,7,2,3.91,NG,1704821082
261,fiambala,-27.6871,-67.6149,305.39,33,0,6.41,AR,1704821083
262,oleshky,46.6249,32.7251,268.44,65,6,5.73,UA,1704821085
263,tutong,4.8,114.65,300.2,89,34,2.87,BN,1704821086
264,vila franca do campo,37.7167,-25.4333,291.42,99,100,8.79,PT,1704820795
265,dalandzadgad,43.5708,104.425,265.37,60,3,3.2,MN,1704821088
266,antsiranana,-12.2787,49.2917,298.88,88,100,2.7,MG,1704821090
267,newman,37.3138,-121.0208,279.96,89,92,1.79,US,1704821091
268,brandon,27.9378,-82.2859,301.11,77,100,11.32,US,1704821093
269,coahuayana de hidalgo,18.7,-103.6583,301.03,57,95,0.91,MX,1704821094
270,pesqueira,-8.3578,-36.6964,302.8,44,75,1.86,BR,1704821096
271,el estor,15.5333,-89.35,302.38,46,2,1.0,GT,1704821097
272,timimoun,29.2639,0.231,293.36,17,0,3.6,DZ,1704821099
273,belmonte,-15.8631,-38.8828,302.31,65,85,4.44,BR,1704821100
274,pandan,14.0453,124.1694,299.17,87,48,1.99,PH,1704821102
275,lerwick,60.1545,-1.1494,278.15,71,100,3.87,GB,1704821103
276,tyukhtet,56.5389,89.3011,254.31,90,100,7.44,RU,1704821105
277,piti village,13.4626,144.6933,300.64,82,75,7.72,GU,1704821107
278,macapa,0.0389,-51.0664,303.53,61,60,6.33,BR,1704820930
279,utrik,11.2278,169.8474,299.92,73,99,9.55,MH,1704821111
280,olyokminsk,60.3736,120.4264,244.65,97,100,1.1,RU,1704821113
281,ilulissat,69.2167,-51.1,266.16,79,40,5.14,GL,1704821115
282,severo-yeniseyskiy,60.3725,93.0408,253.47,94,100,5.81,RU,1704821117
283,guerrero negro,27.9769,-114.0611,286.05,33,59,2.45,MX,1704821119
284,tumaco,1.7986,-78.8156,300.21,84,87,4.08,CO,1704821120
285,manggar,-2.8833,108.2667,299.6,86,88,1.63,ID,1704821123
286,malanje,-9.5402,16.341,294.17,78,23,2.27,AO,1704821126
287,sinabang,2.4803,96.3801,298.92,91,100,5.14,ID,1704821127
288,same,-4.0667,37.7333,294.81,84,96,2.83,TZ,1704821129
289,santanyi,39.3546,3.1291,284.61,54,71,1.59,ES,1704821130
290,ukata,10.8312,5.8249,304.83,7,1,0.53,NG,1704821132
291,ponta delgada,37.7333,-25.6667,291.59,72,75,7.72,PT,1704820857
292,pampa,35.5362,-100.9599,274.17,55,0,9.77,US,1704821136
293,grootfontein,-19.5667,18.1167,296.91,69,89,3.09,NA,1704821137
294,ciudad lazaro cardenas,17.9583,-102.2,301.2,61,86,0.15,MX,1704821042
295,belyy yar,53.6039,91.3903,263.09,52,0,7.0,RU,1704821140
296,kingscliff,-28.2667,153.5667,297.44,100,75,5.66,AU,1704821142
297,port elizabeth,-33.918,25.5701,297.09,85,75,2.57,ZA,1704821020
298,port saint john's,-31.6229,29.5448,296.21,85,84,3.89,ZA,1704821146
299,happy valley-goose bay,53.3168,-60.3315,260.32,47,20,10.29,CA,1704821148
300,colonia,50.9333,6.95,273.28,49,0,1.54,DE,1704821149
301,groningen,53.25,6.75,271.49,83,4,5.66,NL,1704821151
302,monrovia,6.3005,-10.7969,301.61,71,86,4.97,LR,1704821152
303,hasaki,35.7333,140.8333,271.37,44,0,2.58,JP,1704821155
304,mariel,22.9875,-82.7536,300.23,73,89,10.75,CU,1704821157
305,tianchang,37.9981,114.0156,271.39,61,2,2.02,CN,1704821158
306,tangub,8.06,123.75,296.87,96,69,0.53,PH,1704821160
307,la grande,45.3246,-118.0877,276.02,93,99,5.54,US,1704821161
308,raja,8.4596,25.678,301.11,20,78,1.54,SS,1704821163
309,st. john's,47.5649,-52.7093,270.91,65,20,9.77,CA,1704821016
310,lexington,37.9887,-84.4777,283.22,90,100,2.24,US,1704821029
311,sierra grande,-41.606,-65.3557,297.46,16,0,7.67,AR,1704821167
312,malango,-2.9627,119.9001,293.59,97,100,1.08,ID,1704821169
313,carnarvon,-24.8667,113.6333,296.56,73,0,8.91,AU,1704821172
314,al bukayriyah,26.1442,43.6593,290.02,30,98,3.39,SA,1704821174
315,mandalgovi,45.7625,106.2708,259.78,90,20,5.72,MN,1704821175
316,ardestan,33.3761,52.3694,285.65,12,83,2.91,IR,1704821177
317,kirensk,57.7853,108.1119,263.13,92,84,4.47,RU,1704821178
318,katsuura,35.1333,140.3,284.16,61,0,8.3,JP,1704821179
319,ulsteinvik,62.3432,5.8487,278.57,89,95,0.89,NO,1704821181
320,tondano,1.3038,124.9112,293.2,90,62,0.71,ID,1704821182
321,ormond-by-the-sea,29.3491,-81.0665,299.18,74,75,10.29,US,1704821186
322,portland,45.5234,-122.6762,280.28,92,100,4.12,US,1704821097
323,pavilosta,56.8879,21.1859,275.1,83,18,6.68,LV,1704821189
324,kainantu,-6.2887,145.8655,289.73,97,100,1.25,PG,1704821190
325,mollerussa,41.6333,0.9,280.4,64,81,0.41,ES,1704821192
326,egilsstadir,65.2653,-14.3948,279.1,65,0,6.17,IS,1704821193
327,akranes,64.3218,-22.0749,282.18,78,100,13.98,IS,1704821195
328,ust-tsilma,65.441,52.1498,246.82,100,100,0.89,RU,1704821196
329,magadan,59.5667,150.8,250.82,81,100,2.49,RU,1704821198
330,mount gambier,-37.8333,140.7667,288.35,88,67,1.22,AU,1704821199
331,ban huai thalaeng,14.9833,102.65,299.34,50,68,1.34,TH,1704821200
332,manay,7.215,126.5397,298.51,85,98,2.78,PH,1704821202
333,sovetskaya gavan',48.9723,140.2878,254.32,78,97,2.71,RU,1704821203
334,mooloolaba,-26.6833,153.1167,297.07,98,23,0.92,AU,1704821204
335,haiku-pauwela,20.9219,-156.3051,294.28,96,100,7.2,US,1704821206
336,chilca,-12.5211,-76.7372,296.71,81,100,3.55,PE,1704821001
337,rikaze,29.25,88.8833,269.15,23,0,0.64,CN,1704821209
338,alofi,-19.0595,-169.9187,296.09,94,75,0.0,NU,1704821210
339,keflavik,64.0049,-22.5624,282.1,81,100,13.38,IS,1704821211
340,nema,57.5067,50.5011,251.06,100,97,2.15,RU,1704821213
341,chistyye bory,58.3647,41.6278,257.73,97,100,1.3,RU,1704821214
342,medenine,33.355,10.5055,285.31,41,21,2.14,TN,1704821216
343,bedesa,8.9,40.7833,289.97,52,60,2.86,ET,1704821217
344,cabezon de la sal,43.3089,-4.2302,280.21,78,100,1.95,ES,1704821219
345,shulan,44.4167,126.95,253.12,98,17,3.03,CN,1704821222
346,lazaro cardenas,17.9583,-102.2,301.2,61,86,0.15,MX,1704821223
347,pyt-yakh,60.7499,72.8582,256.25,95,100,4.88,RU,1704821225
348,kinablangan,7.6947,126.5503,298.53,90,93,1.7,PH,1704821227
349,yabelo,4.8833,38.0833,294.68,35,19,1.53,ET,1704821228
350,'ali al gharbi,32.4633,46.6864,289.85,26,100,4.85,IQ,1704821232
351,lubawa,53.5043,19.7497,267.82,86,9,3.0,PL,1704821233
352,taunggyi,20.7833,97.0333,282.39,62,0,0.48,MM,1704821235
353,malvan,16.0667,73.4667,299.2,75,91,1.57,IN,1704821236
354,durango,24.8333,-104.8333,283.73,26,83,0.65,MX,1704821230
355,burang,30.25,81.1667,263.01,39,0,2.36,CN,1704821239
356,sisimiut,66.9395,-53.6735,263.51,82,73,4.89,GL,1704821240
357,palikir - national government center,6.9248,158.1611,300.56,74,75,4.12,FM,1704821242
358,aksuat,48.7167,83.7,270.06,98,100,0.58,KZ,1704821244
359,tralee,52.2704,-9.7026,275.29,80,75,1.03,IE,1704821245
360,meadow lake,34.8014,-106.5436,273.32,47,0,4.75,US,1704821247
361,svendborg,55.0598,10.6068,270.85,90,37,2.48,DK,1704821248
362,ad dabbah,18.05,30.95,301.22,34,74,3.47,SD,1704821127
363,general ramirez,-32.176,-60.2008,300.49,66,34,5.33,AR,1704821251
364,nosy varika,-20.5833,48.5333,298.76,85,90,3.14,MG,1704821253
365,massakory,12.996,15.7293,301.63,9,11,3.87,TD,1704821254
